ric,status,n_MID_PRICE,n_TRDPRC_1,reused_from
UUUUS032601550.U^G26,no_observations,0,0,
UUUUS032601600.U^G26,no_observations,0,0,
UUUUS032601650.U^G26,no_observations,0,0,
UUUUS032601700.U^G26,no_observations,0,0,
UUUUS032601750.U^G26,no_observations,0,0,
UUUUS032601800.U^G26,no_observations,0,0,
UUUUS032601850.U^G26,no_observations,0,0,
UUUUS102601050.U^G26,no_observations,0,0,
UUUUS102601100.U^G26,observed,4,12,
UUUUS102601150.U^G26,observed,4,9,
UUUUS102601200.U^G26,observed,18,18,
UUUUS102601250.U^G26,observed,13,13,
UUUUS102601300.U^G26,observed,18,19,
UUUUS102601350.U^G26,observed,18,19,
UUUUS102601400.U^G26,observed,19,19,
UUUUS102601450.U^G26,observed,19,17,
UUUUS102601500.U^G26,observed,19,18,
UUUUS102601550.U^G26,observed,19,16,
UUUUS102601600.U^G26,observed,19,18,
UUUUS102601650.U^G26,observed,19,14,
UUUUS102601700.U^G26,observed,19,18,
UUUUS102601750.U^G26,observed,19,11,
UUUUS102601800.U^G26,observed,19,14,
UUUUS102601850.U^G26,observed,19,11,
UUUUS172601050.U^G26,no_observations,0,0,
UUUUS172601100.U^G26,observed,18,22,
UUUUS172601150.U^G26,observed,16,15,
UUUUS172601200.U^G26,observed,24,24,
UUUUS172601250.U^G26,observed,19,19,
UUUUS172601300.U^G26,observed,24,24,
UUUUS172601350.U^G26,observed,19,18,
UUUUS172601400.U^G26,observed,24,24,
UUUUS172601450.U^G26,observed,19,19,
UUUUS172601500.U^G26,observed,24,24,
UUUUS172601550.U^G26,observed,19,15,
UUUUS172601600.U^G26,observed,24,24,
UUUUS172601650.U^G26,observed,19,18,
UUUUS172601700.U^G26,observed,24,24,
UUUUS172601750.U^G26,observed,19,11,
UUUUS172601800.U^G26,observed,24,22,
UUUUS172601850.U^G26,observed,19,12,
UUUUS242601050.U^G26,observed,7,8,
UUUUS242601100.U^G26,observed,27,16,
UUUUS242601150.U^G26,observed,15,13,
UUUUS242601200.U^G26,observed,29,24,
UUUUS242601250.U^G26,observed,15,15,
UUUUS242601300.U^G26,observed,29,29,
UUUUS242601350.U^G26,observed,29,26,
UUUUS242601400.U^G26,observed,29,24,
UUUUS242601450.U^G26,observed,29,26,
UUUUS242601500.U^G26,observed,29,27,
UUUUS242601550.U^G26,observed,29,21,
UUUUS242601600.U^G26,observed,29,23,
UUUUS242601650.U^G26,observed,29,25,
UUUUS242601700.U^G26,observed,29,26,
UUUUS242601750.U^G26,observed,29,14,
UUUUS242601800.U^G26,observed,29,18,
UUUUS242601850.U^G26,observed,29,19,
UUUUS312601050.U^G26,observed,33,26,
UUUUS312601100.U^G26,observed,33,28,
UUUUS312601150.U^G26,observed,34,26,
UUUUS312601200.U^G26,observed,34,29,
UUUUS312601250.U^G26,observed,34,28,
UUUUS312601300.U^G26,observed,34,30,
UUUUS312601350.U^G26,observed,34,23,
UUUUS312601400.U^G26,observed,34,31,
UUUUS312601450.U^G26,observed,34,29,
UUUUS312601500.U^G26,observed,34,28,
UUUUS312601550.U^G26,observed,34,18,
UUUUS312601600.U^G26,observed,34,27,
UUUUS312601650.U^G26,observed,34,27,
UUUUS312601700.U^G26,observed,34,28,
UUUUS312601750.U^G26,observed,34,17,
UUUUS312601800.U^G26,observed,34,21,
UUUUS312601850.U^G26,observed,34,15,
UUUUT072601050.U^H26,observed,28,23,
UUUUT072601100.U^H26,observed,29,25,
UUUUT072601150.U^H26,observed,30,25,
UUUUT072601200.U^H26,observed,30,29,
UUUUT072601250.U^H26,observed,29,24,
UUUUT072601300.U^H26,observed,30,25,
UUUUT072601350.U^H26,observed,29,24,
UUUUT072601400.U^H26,observed,30,24,
UUUUT072601450.U^H26,observed,31,22,
UUUUT072601500.U^H26,observed,31,23,
UUUUT072601550.U^H26,observed,31,8,
UUUUT072601600.U^H26,observed,31,24,
UUUUT072601650.U^H26,observed,31,23,
UUUUT072601700.U^H26,observed,31,21,
UUUUT072601750.U^H26,observed,31,13,
UUUUT072601800.U^H26,observed,31,19,
UUUUT072601850.U^H26,observed,31,4,
UUUUT142601050.U^H26,observed,26,20,
UUUUT142601100.U^H26,observed,26,29,
UUUUT142601150.U^H26,observed,28,29,
UUUUT142601200.U^H26,observed,25,25,
UUUUT142601250.U^H26,observed,28,24,
UUUUT142601300.U^H26,observed,29,30,
UUUUT142601350.U^H26,observed,30,20,
UUUUT142601400.U^H26,observed,30,22,
UUUUT142601450.U^H26,observed,30,20,
UUUUT142601500.U^H26,observed,30,21,
UUUUT142601550.U^H26,observed,31,12,
UUUUT142601600.U^H26,observed,31,19,
UUUUT142601650.U^H26,observed,31,23,
UUUUT142601700.U^H26,observed,31,23,
UUUUT142601750.U^H26,observed,31,14,
UUUUT142601800.U^H26,observed,31,13,
UUUUT142601850.U^H26,observed,31,6,
UUUUT212601050.U^H26,observed,16,21,
UUUUT212601100.U^H26,observed,37,41,
UUUUT212601150.U^H26,observed,15,22,
UUUUT212601200.U^H26,observed,39,42,
UUUUT212601250.U^H26,observed,19,20,
UUUUT212601300.U^H26,observed,43,41,
UUUUT212601350.U^H26,observed,24,18,
UUUUT212601400.U^H26,observed,44,44,
UUUUT212601450.U^H26,observed,24,17,
UUUUT212601500.U^H26,observed,44,44,
UUUUT212601550.U^H26,observed,25,14,
UUUUT212601600.U^H26,observed,45,40,
